admission_score,career_admission_age,gender,previous_studies,origins,highschool_grade,career_anonymous_id,GPA,ECTS,stud_career_degree_name,hybrid_teaching,career_start_ay
-0.000527536252805627,1.46966419007344,M,Technical,Commuter,0.35285703932021,99284582,NA,0,EP12,0,2019/2020
-2.50100421220031,0.174975567720871,M,Technical,Commuter,0.040076312224185,99279632,NA,0,EP16,0,2019/2020
0.649668046389705,-0.472368743455413,M,Technical,Commuter,-0.02247983319502,99287934,NA,0,EP06,0,2019/2020
-0.539670429848938,-0.472368743455413,M,Technical,Offsite,-0.52292899654866,99282962,NA,0,EP16,0,2019/2020
-1.75766766455116,0.174975567720871,M,Technical,Commuter,0.290300893901005,99279118,NA,0,EP16,0,2019/2020
-1.73259125089553,0.822319878897155,M,Technical,Commuter,-0.960822014483095,99279771,NA,0,EP19,0,2019/2020
-0.83073594549469,-0.472368743455413,F,Others,Commuter,0.415413184739415,99279741,NA,0,EP15,0,2019/2020
-1.1038897371007,0.174975567720871,F,Classical,Commuter,-0.64804128738707,99279106,NA,0,EP11,0,2019/2020
-3.16194682926667,0.174975567720871,M,Technical,Commuter,-0.335260560291045,99279128,NA,0,EP16,0,2019/2020
-0.468023533689984,0.822319878897155,F,Technical,Commuter,-0.835709723644685,99282606,NA,0,EP13,0,2019/2020
0.148139773277024,0.174975567720871,M,Technical,Commuter,0.915862348093055,99282992,NA,0,EP03,0,2019/2020
0.869086665876503,-0.472368743455413,M,Classical,Commuter,0.290300893901005,99284871,NA,0,EP17,0,2019/2020
-0.187705052468074,-0.472368743455413,F,Others,Commuter,0.915862348093055,99284223,NA,0,EP04,0,2019/2020
-0.577285050332389,-0.472368743455413,M,Technical,Commuter,0.915862348093055,99285004,NA,0,EP11,0,2019/2020
-0.363239948057513,0.174975567720871,M,Classical,Commuter,-0.460372851129455,99290065,NA,0,EP16,0,2019/2020
-0.510116085183369,-0.472368743455413,M,Technical,Commuter,-0.460372851129455,99289045,NA,0,EP16,0,2019/2020
-0.622959946633722,-0.472368743455413,F,Classical,Commuter,0.790750057254645,99288308,NA,0,EP01,0,2019/2020
-0.478770568113827,0.174975567720871,M,Classical,Commuter,-0.89826586906389,99289286,NA,0,EP18,0,2019/2020
0.13470598024722,0.174975567720871,M,Technical,Commuter,0.415413184739415,99285494,NA,0,EP16,0,2019/2020
-0.750133187315866,0.174975567720871,M,Technical,Commuter,0.915862348093055,99291493,NA,0,EP16,0,2019/2020
-0.713414153034403,-0.472368743455413,F,Classical,Commuter,0.35285703932021,99288109,NA,0,EP17,0,2019/2020
-0.420557464984676,-0.472368743455413,F,Classical,Commuter,-0.335260560291045,99290218,NA,0,EP17,0,2019/2020
-0.391898706521094,-0.472368743455413,M,Classical,Commuter,0.415413184739415,99288155,NA,0,EP16,0,2019/2020
-0.494891119749591,-0.472368743455413,M,Classical,Commuter,-0.27270441487184,99289944,NA,0,EP18,0,2019/2020
-0.0542627083720222,-0.472368743455413,M,Technical,Commuter,-0.335260560291045,99290155,NA,0,EP03,0,2019/2020
2.80982196558218,-1.1197130546317,M,Others,Commuter,-5.33975219382744,99290037,NA,0,EP18,0,2019/2020
-0.0363509843322833,0.822319878897155,M,Technical,Commuter,0.915862348093055,99285457,NA,0,EP07,0,2019/2020
-1.62601649285908,0.822319878897155,M,Technical,Commuter,-1.0859343053215,99279236,NA,0,EP15,0,2019/2020
-0.548626291868807,0.822319878897155,M,Scientific,Commuter,-0.585485141967865,99284043,NA,0,EP15,0,2019/2020
-1.86782476739555,1.46966419007344,M,Technical,Commuter,-0.460372851129455,99279626,NA,0,EP10,0,2019/2020
